"","X","abovemass","rootmass","totmass","Plot","resid_effect","freq_effect","Freq","Resid","Cults","Plots"
"1",1,269.80564,201.8822855,471.6879255,1,-0.5,0.5,"2 wk","Lenient","UF-R","1"
"2",2,214.71788,207.9687497,422.6866297,2,-0.5,0.5,"2 wk","Lenient","T9","2"
"3",3,184.10028,281.0609644,465.1612444,3,-0.5,0.5,"2 wk","Lenient","P","3"
"4",4,284.73172,200.6015399,485.3332599,5,-0.5,0.5,"2 wk","Lenient","T9","5"
"5",5,285.26992,240.9498042,526.2197242,6,-0.5,0.5,"2 wk","Lenient","UF-R","6"
"6",6,205.114,214.5564296,419.6704296,8,-0.5,0.5,"2 wk","Lenient","P","8"
"7",7,212.3498,439.4091075,651.7589075,11,-0.5,0.5,"2 wk","Lenient","A","11"
"8",8,250.57396,203.0752739,453.6492339,16,-0.5,0.5,"2 wk","Lenient","T9","16"
"9",9,263.21568,236.8854278,500.1011078,18,-0.5,0.5,"2 wk","Lenient","A","18"
"10",10,272.28136,178.7323588,451.0137188,21,-0.5,0.5,"2 wk","Lenient","P","21"
"11",11,291.09444,257.9348007,549.0292407,26,-0.5,0.5,"2 wk","Lenient","P","26"
"12",12,244.12752,164.3150423,408.4425623,27,-0.5,0.5,"2 wk","Lenient","UF-R","27"
"13",13,219.87264,116.4776964,336.3503364,28,-0.5,0.5,"2 wk","Lenient","T9","28"
"14",14,219.23876,460.9082874,680.1470474,29,-0.5,0.5,"2 wk","Lenient","A","29"
"15",15,228.47188,491.5169556,719.9888356,31,-0.5,0.5,"2 wk","Lenient","UF-R","31"
"16",16,221.65468,352.2187258,573.8734058,32,-0.5,0.5,"2 wk","Lenient","A","32"
"17",17,148.603,388.1192174,536.7222174,4,-0.5,-0.5,"4 wk","Lenient","A","4"
"18",18,187.78396,254.6705124,442.4544724,7,-0.5,-0.5,"4 wk","Lenient","A","7"
"19",19,305.4584,330.5250232,635.9834232,9,-0.5,-0.5,"4 wk","Lenient","A","9"
"20",20,280.27064,151.7378015,432.0084415,10,-0.5,-0.5,"4 wk","Lenient","UF-R","10"
"21",21,221.03276,202.8077742,423.8405342,12,-0.5,-0.5,"4 wk","Lenient","P","12"
"22",22,250.89688,238.3401504,489.2370304,13,-0.5,-0.5,"4 wk","Lenient","UF-R","13"
"23",23,252.60716,253.7586585,506.3658185,14,-0.5,-0.5,"4 wk","Lenient","T9","14"
"24",24,224.4892,420.7418832,645.2310832,15,-0.5,-0.5,"4 wk","Lenient","P","15"
"25",25,326.12528,355.0779209,681.2032009,17,-0.5,-0.5,"4 wk","Lenient","P","17"
"26",26,321.73596,282.2630558,603.9990158,19,-0.5,-0.5,"4 wk","Lenient","T9","19"
